DateTime,Entries,UniqueIPs
1488475461,4495,4550
1488504239,4463,4519
1488522350,4476,4534
1488550383,4441,4498
1488561549,4451,4509
1488591546,4411,4469
1488608335,4396,4453
1488636919,4396,4454
1488648170,4400,4458
1488672103,4404,4462
1488694594,4385,4443
1488724403,4368,4425
1488735323,4375,4432
1488766338,4385,4444
1488781032,4399,4458
1488810248,4369,4428
1488820840,4389,4448
1488852089,4368,4425
1488867582,4383,4440
1488898415,4372,4427
1488908063,4396,4452
1488938965,4406,4463
1488953551,4422,4479
1488983263,4455,4512
1488993450,4428,4484
1489024186,4431,4488
1489039983,4431,4489
1489070258,4441,4499
1489079741,4435,4493
1489110371,4438,4496
1489126704,4433,4491
1489155449,4438,4495
1489166378,4429,4487
1489196127,4433,4492
1489212353,4442,4503
1489240393,4465,4526
1489253238,4445,4506
1489283792,4450,4512
1489299039,4427,4488
1489327590,4430,4491
1489335754,4431,4491
1489359579,4448,4509
1489382030,4428,4489
1489411777,4411,4473
1489421859,4399,4461
1489451893,4412,4473
1489468078,4401,4462
1489497671,4401,4462
1489508349,4380,4442
1489537217,4394,4456
1489554545,4355,4416
1489583515,4377,4438
1489595134,4352,4412
1489625536,4384,4445
1489641323,4365,4427
1489669837,4361,4423
1489680906,4347,4410
1489709751,4353,4415
1489727047,4329,4391
1489755805,4333,4395
1489767288,4311,4373
1489797672,4312,4374
1489814087,4281,4342
1489843760,4294,4355
1489854222,4279,4339
1489881977,4288,4349
1489900237,4279,4340
1489929351,4294,4356
1489940414,4272,4334
1489967750,4276,4337
1489986943,4245,4305
1490016905,4258,4324
1490027001,4245,4310
1490052835,4236,4304
1490073117,4206,4274
1490103233,4210,4281
1490113137,4192,4264
1490143600,4189,4262
1490160046,4171,4245
1490183553,4172,4246
1490199340,4155,4228
1490229353,4158,4231
1490245884,4141,4214
1490274156,4154,4224
1490285563,4124,4194
1490314321,4115,4186
1490332444,4082,4153
1490361423,4092,4165
1490372506,4069,4142
1490394930,4078,4151
1490418807,4070,4143
1490447520,4073,4146
1490458484,4053,4126
1490487921,4051,4124
1490505026,4029,4102
1490534183,4029,4102
1490544699,4003,4073
1490574515,4007,4077
1490591465,3980,4050
1490619916,3963,4035
1490631147,3935,4006
1490660049,3930,4000
1490677744,3904,3974
1490706041,3906,3975
1490717802,3869,3938
1490747020,3856,3925
1490763942,3817,3886
1490791680,3792,3860
1490804071,3752,3821
1490832568,3738,3808
1490851010,3703,3773
1490878483,3666,3734
1490890790,3672,3740
1490916179,3676,3745
1490937305,3646,3714
1490965239,3651,3719
1490977242,3621,3688
1491000658,3630,3697
1491023811,3597,3664
1491051456,3610,3679
1491062922,3587,3657
1491091045,3600,3670
1491109477,3583,3651
1491137396,3580,3649
1491149449,3566,3634
1491177536,3579,3648
1491196205,3561,3630
1491223397,3581,3650
1491235683,3560,3628
1491264143,3569,3637
1491283055,3550,3618
1491309979,3556,3626
1491322407,3543,3612
1491350979,3545,3613
1491368984,3527,3595
1491396160,3541,3609
1491408856,3526,3595
1491437441,3520,3591
1491455421,3525,3596
1491482278,3522,3593
1491494901,3491,3563
1491523731,3484,3557
1491541557,3464,3536
1491568068,3472,3544
1491581284,3449,3519
1491610636,3439,3512
1491629061,3442,3515
1491655925,3444,3517
1491667998,3439,3511
1491697063,3435,3507
1491714885,3404,3475
1491742131,3425,3496
1491753581,3414,3485
1491783127,3433,3504
1491800622,3430,3501
1491828209,3453,3524
1491840368,3443,3514
1491868757,3454,3525
1491887575,3445,3515
1491915799,3459,3529
1491927171,3446,3516
1491956931,3432,3498
1491974209,3429,3495
1492002921,3436,3503
1492014078,3443,3510
1492037912,3450,3517
1492061042,3471,3538
1492088581,3470,3535
1492099906,3484,3550
1492129557,3499,3564
1492146778,3461,3525
1492173863,3459,3523
1492186605,3470,3535
1492215555,3488,3551
1492233285,3481,3542
1492260509,3483,3544
1492272871,3458,3517
1492301928,3485,3545
1492319064,3462,3522
1492347463,3464,3524
1492358863,3480,3540
1492388804,3495,3555
1492405933,3480,3540
1492434088,3468,3527
1492445449,3480,3540
1492474193,3488,3547
1492491950,3479,3537
1492521551,3504,3562
1492531704,3488,3545
1492560899,3497,3555
1492578315,3453,3510
1492607088,3489,3546
1492618357,3465,3522
1492647122,3437,3490
1492664946,3448,3501
1492694082,3457,3509
1492705080,3436,3488
1492735517,3421,3466
1492752059,3404,3448
1492775514,3412,3456
1492791682,3423,3467
1492821274,3416,3459
1492838007,3429,3472
1492865254,3454,3497
1492878045,3417,3459
1492906515,3431,3473
1492924314,3437,3478
1492952365,3441,3482
1492963801,3450,3491
1492992979,3447,3486
1493010638,3458,3497
1493038298,3480,3520
1493051164,3456,3496
1493079680,3464,3504
1493097535,3476,3516
1493119631,3514,3554
1493137185,3488,3527
1493160167,3522,3561
1493183147,3499,3536
1493211171,3504,3539
1493223139,3497,3532
1493252403,3498,3534
1493270009,3486,3524
1493296811,3493,3532
1493310015,3508,3547
1493332702,3517,3557
1493356000,3525,3565
1493383600,3520,3559
1493396061,3513,3552
1493424095,3514,3553
1493442398,3526,3565
1493469191,3547,3587
1493482116,3536,3577
1493509312,3547,3589
1493529150,3526,3570
1493556083,3552,3595
1493568826,3572,3615
1493597684,3585,3627
1493615722,3602,3644
1493642586,3646,3693
1493655030,3638,3685
1493683932,3678,3726
1493701985,3642,3692
1493729435,3653,3703
1493741704,3664,3714
1493768674,3679,3729
1493788087,3667,3717
1493814444,3708,3758
1493828261,3700,3750
1493856392,3702,3753
1493874602,3697,3748
1493901548,3745,3796
1493914436,3746,3797
1493942201,3770,3823
1493961268,3758,3812
1493987957,3789,3845
1494001052,3777,3833
1494028317,3799,3856
1494047397,3772,3827
1494074015,3790,3845
1494086834,3770,3825
1494114717,3767,3821
1494133426,3786,3840
1494160559,3776,3830
1494174159,3770,3824
1494196120,3805,3860
1494220686,3755,3810
1494243431,3805,3860
1494260448,3781,3835
1494282437,3805,3862
1494307240,3793,3850
1494328311,3839,3896
1494346683,3801,3860
1494370095,3835,3895
1494393155,3790,3850
1494420158,3821,3882
1494433242,3801,3861
1494455714,3821,3882
1494479618,3785,3847
1494506183,3812,3878
1494519198,3795,3861
1494546724,3831,3897
1494565610,3819,3885
1494591435,3837,3906
1494605159,3811,3877
1494631216,3845,3911
1494652023,3797,3862
1494677982,3828,3894
1494692136,3798,3864
1494719150,3800,3866
1494738101,3812,3878
1494764236,3837,3903
1494778080,3829,3893
1494805311,3848,3912
1494824880,3836,3900
1494849684,3863,3927
1494864504,3861,3924
1494891032,3891,3954
1494911637,3862,3927
1494937206,3896,3961
1494951760,3862,3924
1494972489,3897,3961
1494997569,3859,3922
1495023374,3890,3958
1495037176,3846,3914
1495063634,3882,3950
1495083854,3847,3915
1495109812,3883,3951
1495123695,3865,3933
1495151890,3875,3942
1495170900,3885,3952
1495196600,3910,3978
1495210083,3884,3952
1495236840,3914,3984
1495256222,3887,3957
1495282296,3917,3988
1495296067,3903,3975
1495323533,3936,4008
1495342536,3929,4001
1495368084,3954,4027
1495382615,3948,4023
1495410066,3961,4035
1495429109,3958,4034
1495453905,3982,4057
1495468466,3974,4049
1495495292,3996,4070
1495514915,3961,4035
1495535154,4002,4077
1495554428,3971,4044
1495575323,4002,4078
1495601328,3989,4066
1495621738,4009,4086
1495640426,3988,4064
1495661602,4014,4093
1495687486,4000,4079
1495707926,4027,4105
1495727863,3999,4077
1495754329,4004,4084
1495774333,4013,4093
1495795086,4043,4124
1495814822,4029,4110
1495840922,4065,4145
1495861399,4037,4118
1495886777,4069,4150
1495901215,4054,4135
1495928310,4037,4117
1495947365,4055,4136
1495973231,4075,4156
1495987365,4068,4149
1496015323,4088,4171
1496034125,4085,4166
1496061194,4089,4171
1496073640,4103,4185
1496100520,4094,4178
1496120404,4108,4192
1496146241,4118,4200
1496159599,4096,4177
